"ptt","presabs","dt","lat","lon","curl","ild","ssh","sst","sst_sd","ssh_sd","z","z_sd","EKE","slope","aspect","BV"
"510824",1,1999-08-10,35.61403,-121.1867,-9.44364994924666e-08,2.24804410059477,0.0899379658389188,14.7521739374336,0.63802741302796,0.0129693533419271,174.24804301136,1082.97051758608,NA,20.7080173492,232.224319458,0.00813581080712915
"510824",1,1999-08-11,35.82307,-121.4863,5.67838277856415e-07,3.84072221443416,0.0864177417591976,15.8041231519016,0.704452459379298,0.0127790867959046,-25.6494192006186,1328.99887122054,0.0449930248618611,23.4684886932,238.016357422,0.00797243362787379
"510824",1,1999-08-12,35.63895,-121.2529,1.50082556621653e-06,16.5269747506865,0.0544082107725121,12.8668408160796,0.79846360242818,0.0106343782758875,8.81738022522016,1214.08614189887,NA,NA,NA,0.00725646492293146
"510824",1,1999-08-13,36.09737,-121.7368,1.21624156920424e-06,3.78100914779025,0.0456429598284911,14.0419927133725,0.879762440438597,0.0139359502445342,-832.216799527133,1458.69135519252,0.0793542326591635,30.9338130951,244.25894165,0.00969263719624771
"510824",1,1999-08-14,36.74262,-122.1863,8.23136777893624e-07,14.6626039236406,0.0651856974921496,14.1549932209984,0.943855951431812,0.0204734068040808,-911.8779320253,1383.53386895077,0.0589872959432323,93.4906921387,215.11920166,0.00770094818251337
"510824",1,1999-08-15,37.12232,-122.4022,5.02078869013695e-07,8.04379478201576,0.0398250125141566,12.9007375567294,1.10404808623818,0.0188643462725782,-67.98144566413,1335.72410440209,NA,49.1987380981,215.98928833,0.00812707873125643
"510824",1,1999-08-16,37.54755,-122.7837,-5.6451006283396e-09,11.8612544387491,0.0663316936367585,14.1253382836042,1.061203970091,0.0190887983383969,-66.6093751872929,1339.35882757477,0.00352516392067942,2.58352637291,233.447402954,0.00805002507367864
"510824",1,1999-08-17,37.72891,-123.1529,-2.97034784241213e-08,7.16816228304904,0.0760347722505402,14.6737153339035,0.968939843968435,0.019244371077912,-229.74219188626,1557.84542468488,0.0334000614780079,60.3230819702,231.700622559,0.00712908156403663
"510824",1,1999-08-18,37.77687,-123.2618,2.84739363810754e-07,11.3030677847647,0.062738884644969,14.1952302101347,0.897826276638634,0.0194483329233985,-648.348641771505,1604.43984509479,0.0203263899674308,60.3230819702,231.700622559,0.00715495183331542
"510824",1,1999-08-19,36.88068,-122.82,1.46919421176212e-07,13.1396505632613,0.10090885647678,16.2312361710642,1.20359698090389,0.0203575307506852,-2551.30371655104,1512.54273237656,0.00949382782211612,55.0295906067,213.72227478,0.00906187942229568
